app_name,domain
Doximity,doximity.com
Grammarly,grammarly.com
Grammarly,grammarly.io
Pixlr,pixlr.com
Kickresume,kickresume.com
Kore.ai,kore.ai
Kore.ai,app.kore.com
Tettra,tettra.com
Tettra,app.tettra.co
Smartcat,smartcat.ai
Smartcat,smartcat.com
Rasa Stack,rasa.com
Soprano Conversational AI Chatbot,ubisend.com
H2O.ai,h2o.ai
Slite,slite.com
Fireflies.ai,fireflies.ai
Krisp,krisp.ai
Otter.ai,otter.ai
Freepik,freepik.com
Freepik,id.freepikcompany.com
Freepik,freepikcompany.com
Freepik,freepik.es
Freepik,magnific.com
Freepik,magnific.ai
Descript,descript.com
Descript,descript-website.vercel.app
Outwrite,outwrite.com
Adobe Express,express.adobe.com
Adobe Express,express-brand-migration.adobe.io
Adobe Express,express-search.hz.adobe.com
Ada,ada.cx
Landbot,landbot.io
interface.ai,interface.ai
BeyondWords,speechkit.io
BeyondWords,beyondwords.io
VoiceLayer,voicelayer.ai
VoiceLayer,portal.voicelayer.io
10Web,10web.io
Paradox,paradox.ai
Balto,balto.ai
Balto,baltocloud.com
WellSaid,wellsaidlabs.com
WellSaid,wellsaid.io
Glean,glean.com
Adobe Sensei,sensei-ue1.adobe.io
Adobe Sensei,senseicore-ue1.adobe.io
Adobe Sensei,sensei-va6.adobe.io
Adobe Sensei,sensei.adobe.io
Adobe Sensei,senseicore.adobe.io
Adobe Sensei,senseicore-ew1.adobe.io
Scale AI,scale.com
Scale AI,api.scale.com
LanguageTool,languagetool.org
CoCounsel,casetext.com
CoCounsel,cocounsel.thomsonreuters.com
CoCounsel,addcasetext.com
CoCounsel,getcasetext.com
Zhihu Direct Answer,zhida.zhihu.com
Betterlook AI,betterlook.ai
Trinka,trinka.ai
Amelia,amelia.ai
QuillBot,quillbot.com
QuillBot,api.quillbot.com
Wordtune,wordtune.com
Jasper,jasper.ai
Invideo AI,invideo.io
Invideo AI,invideo.ai
OpenAI,openai.com
Fellow,fellow.app
Wordly,wordly.ai
Remesh,remesh.ai
Remesh,live.remesh.chat
ChatGPT,chat.openai.com
ChatGPT,auth0.openai.com
ChatGPT,oaiusercontent.com
ChatGPT,chatgpt.com
ChatGPT,cdn.oaistatic.com
ChatGPT,chat.com
ChatGPT,persistent.oaistatic.com
Copy.ai,copy.ai
Copy.ai,api.copy.ai
Copy.ai,app.copy.ai
Copy.ai,login.copy.ai
Murf,murf.ai
FakeYou,fakeyou.com
GitHub Copilot,copilot-proxy.githubusercontent.com
GitHub Copilot,githubcopilot.com
GitHub Copilot,origin-tracker.githubusercontent.com
GitHub Copilot,copilot-telemetry.githubusercontent.com
GitHub Copilot,api.github.com
You.com,you.com
NaturalReader,naturalreaders.com
Haut.AI,haut.ai
Runway AI,runwayml.com
Google Gemini,bard.google.com
Google Gemini,gemini.google.com
Google Gemini,push.clients6.google.com
Google Gemini,generativelanguage.googleapis.com
Google Gemini,appsgenaiserver-pa.clients6.google.com
Google Gemini,gemini.google
Google Gemini,contribution.usercontent.google.com
Google Gemini,geminiweb-pa.googleapis.com
Google Gemini,contribution-rt.usercontent.google.com
Writesonic,writesonic.com
Bria,bria.ai
Bria,platform.prod.bria-api.com
Bria,docs.bria.ai
Vidyo. AI,vidyo.ai
Tavus,tavus.io
Prezo,prezo.ai
Botsheets,botsheets.com
Formulas HQ,sheetplus.ai
Formulas HQ,formulashq.com
Scholarcy,scholarcy.com
Uizard,uizard.io
VEED,veed.io
PromptLoop,promptloop.com
Maverick,trymaverick.com
Ajelix,ajelix.com
Midjourney,midjourney.com
DreamStudio,dreamstudio.ai
DreamStudio,stabilityai.us.auth0.com
DreamStudio,grpc.stability.ai
Synthesis AI,synthesis.ai
Cohere,cohere.com
Cohere,dashboard.cohere.ai
Cohere,cohere.ai
Andi,andisearch.com
Synthesia,synthesia.io
Inworld,inworld.ai
MOSTLY AI,mostly.ai
Phind,phind.com
Bertha,bertha.ai
Genei,genei.io
Beautiful.ai,beautiful.ai
Masterpiece Studio,masterpiecestudio.com
D-ID,d-id.com
HeyGen,heygen.com
HeyGen,craft-api.surreal-ai.com
HeyGen,files.movio.la
HeyGen,files2.heygen.ai
HeyGen,heygen.ai
LOVO,lovo.ai
Anthropic Claude,anthropic.com
Anthropic Claude,claude.ai
Anthropic Claude,claudeusercontent.com
Anthropic Claude,claude.com
Anthropic Claude,platform.claude.com
Anthropic Claude,api.anthropic.com
Anthropic Claude,code.claude.com
Leonardo.Ai,leonardo.ai
Leonardo.Ai,auth.leonardo.ai
Leonardo.Ai,app.leonardo.ai
Leonardo.Ai,api.leonardo.ai
Tome,tome.app
Hugging Face,huggingface.co
Hugging Face,hf.co
Hugging Face,api-inference.huggingface.co
Hugging Face,router.huggingface.co
Sider AI,gochitchat.ai
Sider AI,sider.ai
DALL-E 2,labs.openai.com
SinCode AI,sincode.ai
Nero AI,ai.nero.com
Perplexity AI,perplexity.ai
Facetune by Lightricks,facetuneapp.com
Hotpot.ai,hotpot.ai
Pictory,pictory.ai
Mem,get.mem.ai
Mem,mem.ai
Mem,backend-analytics-prod.mem.engineering
Mem,backend-prod.mem.engineering
ChatPDF,chatpdf.com
Cody,meetcody.ai
Cody,getcody.ai
SciSpace,typeset.io
SciSpace,scispace.com
Sharly,sharly.ai
ThreeSigma AI,threesigma.ai
DocuChat,docuchat.io
AskYourPdf,askyourpdf.com
ChatDOC,chatdoc.com
lxi.ai,lxi.ai
My AskAI,myaskai.com
Visus,visus.ai
Lateral AI,lateral.io
Chatbase,chatbase.co
Docalysis,docalysis.com
Humata,humata.ai
Paxton AI,paxton.ai
IngestAI,ingestai.io
chatCGT,chatcgt.fr
Orimon.ai,orimon.ai
tldv,tldv.io
Lexica,lexica.art
Rask AI,rask.ai
Skipit.ai,skipit.ai
Forefront,forefront.ai
Tactiq,tactiq.io
Responsable,responsable.io
MeetGeek,meetgeek.ai
NightCafe,creator.nightcafe.studio
AiChatting,aichatting.net
Odin AI,getodin.ai
Gamma Tech,gamma.app
KreadoAI,kreadoai.com
Guide.AI,guide-ai.com
Flair,flair.ai
Recraft,recraft.ai
Simplified,simplified.com
PPTX.AI,pptx.ai
LegiGPT,legigpt.fr
MusicStar.AI,musicstar.ai
AI21 Labs,ai21.com
AI21 Labs,api.ai21.com
Aleph Alpha,aleph-alpha.com
Character.AI,character.ai
Character.AI,beta.character.ai
Notta,notta.ai
PatternAI,getpattern.ai
Azure OpenAI Service,oai.azure.com
Sirion,sirion.ai
Sirion,sirionlabs-customer.exceedlms.com
SlidesAI,slidesai.io
Artbreeder,artbreeder.com
NOID,noid.ai
TTSMaker,ttsmaker.com
SAKUBUN,sakubun.ai
Marcel,marcel.ai
Gyde,gyde.ai
Kenyt.AI,kenyt.ai
Ad Auris,adauris.ai
ChatGPT German,chatgpt.ch
Medchat,medchatapp.com
Medchat,medchat.ai
Cari AI,site.cariai.com
Cari AI,cariai.com
Cari AI,cari.ai
DeepAI,deepai.org
DeepAI,deep.ai
Artlist,artlist.io
Wondershare Filmora,filmora.wondershare.net
Wondershare Filmora,filmora.wondershare.com
Wondershare Filmora,filmora.io
rechtschreibpruefung24.de,rechtschreibpruefung24.de
Media.io,media.io
Gencraft,gencraft.com
Rytr,rytr.me
Chat GPT Demo,chatgptdemo.net
ChatBusinessAI,chatbusiness.ai
Stable Diffusion,stablediffusionweb.com
Stable Diffusion v1-5 Demo,runwayml-stable-diffusion-v1-5.hf.space
Speechify,speechify.com
ChatGPT Brazil,chatgptbrasil.com.br
Spinach AI,spinach.ai
FirstContact,first-contact.jp
Craiyon,craiyon.com
ChatGPT-X,chatgptx.de
ChatGPT-X,chatx.de
Imagine,imagine.art
Imagine,accounts.vyro.ai
ElevenLabs,elevenlabs.io
Elicit,elicit.com
Xembly,xembly.com
Read AI,read.ai
Noty,noty.ai
Chat Kanrinin,chatkanri.com
Grok,grok.x.ai
Grok,x.ai
Grok,grok.com
Grok,grok.x.com
AutoRetouch,autoretouch.com
scite,scite.ai
BuildBetter AI,buildbetter.ai
BuildBetter AI,auth.buildbetter.app
Lyrebird Health,lyrebirdhealth.com
